symbol1,delay1,symbol2,delay2
a,0.6230716980402794,a,1.6769283019597205
a,0.45535009955135597,a,1.8446499004486439
a,0.9277744688171835,a,1.3722255311828162
a,0.31038445936860504,a,1.989615540631395
a,0.8920491363490619,a,1.407950863650938
a,0.3788534219028592,a,1.9211465780971406
a,0.43337873902598,a,1.8666212609740198
a,0.731709057625254,a,1.568290942374746
a,1.114365389456744,a,1.1856346105432558
a,1.2440463468458942,a,1.0559536531541056
a,0.8488497466211649,a,1.451150253378835
a,1.2724761511385072,a,1.0275238488614926
a,0.5019861047327623,a,1.7980138952672375
a,0.4962586433649797,a,1.8037413566350202
a,0.5512041848881027,a,1.748795815111897
a,1.2626813940426893,a,1.0373186059573105
a,0.5816059532773245,a,1.7183940467226755
a,0.7580679673723845,a,1.5419320326276154
a,1.2422103533638809,a,1.057789646636119
a,0.9016280963446782,a,1.3983719036553217
a,1.1824639756827562,a,1.1175360243172436
a,0.854586982537464,a,1.4454130174625357
a,0.802258894888988,a,1.4977411051110119
a,1.0315666897540503,a,1.2684333102459495
a,0.4250807753049831,a,1.8749192246950166
a,0.6364678933076842,a,1.6635321066923157
a,1.1985382448527135,a,1.1014617551472863
a,1.28629503131235,a,1.0137049686876498
a,1.025791132250811,a,1.2742088677491887
a,0.7941502582268162,a,1.5058497417731838
a,1.1237275631421548,a,1.176272436857845
a,0.4940687580088875,a,1.8059312419911122
a,1.0567967365616349,a,1.243203263438365
a,0.5689714045421735,a,1.7310285954578264
a,0.5461268002462393,a,1.7538731997537607
a,0.6818902344845051,a,1.6181097655154946
a,0.6765457437905522,a,1.6234542562094476
a,1.2980137912356515,a,1.0019862087643483
a,0.48673740820014344,a,1.8132625917998564
a,0.5785320270565493,a,1.7214679729434506
a,0.6985742057635701,a,1.6014257942364298
a,0.6071485746432559,a,1.692851425356744
a,0.979612885418972,a,1.320387114581028
a,0.565629240080211,a,1.7343707599197888
a,1.20141309485583,a,1.09858690514417
a,0.8707994718671059,a,1.4292005281328939
a,0.34222917037983835,a,1.9577708296201615
a,0.9577012452028977,a,1.3422987547971021
a,1.107207513083348,a,1.1927924869166517
a,0.3502340105685895,a,1.9497659894314103
