t1,t2
0.27532999179540457,0.540311870304873
0.6221487812264783,0.204831974596124
0.6131773828578604,0.169514454421153
0.10183482599433763,0.76647708250774
0.7790359255135965,0.15075961556779
0.8430625146815192,0.149050826329844
0.009758198011243033,0.759047130352774
0.5318719459156596,0.447323642322162
0.5649918699463851,0.324835827381966
0.6652826812020908,0.046589437237068
0.04774246375679987,0.802261908035213
0.1184962859918943,0.85472020171077
0.35353614019843227,0.415622754365646
0.26732568870722806,0.313664085580449
0.4123155641953565,0.518282550277744
0.7408399911850451,0.0160814564481183
0.19458168569700937,0.307898591839868
0.7283845001134384,0.151947754869497
0.36427844383238134,0.348216239842648
0.48482062094776823,0.452798610421965
0.44608990034436297,0.431278865976933
0.2756021765724796,0.515867771498086
0.6192208149772724,0.282698162300565
0.43972570487475415,0.435835709395936
0.735558519418553,0.0427803924080933
0.22472587019542292,0.648526775781597
0.10620124601150818,0.812012722687805
0.21068243700024877,0.764334273938555
0.046880158593782924,0.667360222616759
0.8464205563471403,0.0288287423496955
0.16485535906998677,0.73840814844918
0.5916835661908201,0.379681063510208
0.6179042294020718,0.346497409294751
0.4918703376753366,0.374252910176475
0.15793280566841378,0.57115882525533
0.23218818775494282,0.752453499493275
0.5586499867365737,0.0747496061226012
0.42917620738768647,0.161060391498823
0.019949866719348768,0.831402762574428
0.3774011028595459,0.495790389459905
0.31944837854025265,0.600842654343099
0.45246027031170893,0.142424352661299
0.5561038439740482,0.42878996666637
0.0710054886037514,0.90643163621398
0.38660690042871204,0.336151142087397
0.39470904746799784,0.531942321956758
0.4864533572515444,0.444315193154514
0.07841376609489642,0.893012450171428
0.08338703964340062,0.785073323362054
0.5374906518836543,0.344622908069797
0.09892351095119609,0.112095438479395
0.3663000148961858,0.126014047593802
0.008344559460588414,0.707978074114618
0.522405317649765,0.363915749620919
0.943421616768319,0.00145020070028962
0.037491134125600546,0.543766135511056
0.33967445943217844,0.637667863508789
0.5980664141622494,0.273420751586459
0.24525696895633717,0.683857999231883
0.7781216124697737,0.145127184203942
0.3589174800113251,0.630117107190067
0.45037166819351176,0.0727815144084095
0.48395821169592546,0.293155837309292
0.3442821827364187,0.363641065682424
0.17502800554818365,0.397063828412977
0.5349572048934921,0.332070369111633
0.6617826976974217,0.291623282800145
0.5031664882315771,0.459670174111557
0.2309909456077962,0.450657576374478
0.7753648456125602,0.0276060876851437
0.5023968737905354,0.156217307015584
0.1329299525307326,0.713250204172042
0.6697032764694624,0.213700261271695
0.7027553026486316,0.0804961651516452
0.1570258146224425,0.555545341697668
0.5826035024660735,0.206017122261889
0.5558061072377914,0.408959248661462
0.006428260379854226,0.984426758498718
0.32397491985860444,0.446812341128177
0.6789724529663798,0.263480216716663
0.16768308502025597,0.814694651090577
