0.951188[a] 0.805493[a] 0.743328[a] 
0.706494[a] 0.989389[a] 0.804128[a] 
0.864654[a] 0.966396[a] 0.668960[a] 
0.735824[a] 0.982214[a] 0.781972[a] 
0.838754[a] 0.904548[a] 0.756709[a] 
0.624882[a] 0.925199[a] 0.949929[a] 
0.897761[a] 0.920555[a] 0.681694[a] 
0.942071[a] 0.893257[a] 0.664681[a] 
0.819967[a] 0.807242[a] 0.872802[a] 
0.744767[a] 0.815419[a] 0.939824[a] 
0.707324[a] 0.822603[a] 0.970083[a] 
0.715317[a] 0.950747[a] 0.833946[a] 
0.688904[a] 0.845912[a] 0.965193[a] 
0.967750[a] 0.602678[a] 0.929582[a] 
0.638933[a] 0.923250[a] 0.937827[a] 
0.827052[a] 0.783250[a] 0.889708[a] 
0.937180[a] 0.827497[a] 0.735333[a] 
0.799422[a] 0.917535[a] 0.783054[a] 
0.906289[a] 0.626406[a] 0.967315[a] 
0.890275[a] 0.846947[a] 0.762788[a] 
0.858001[a] 0.817846[a] 0.824162[a] 
0.905267[a] 0.637054[a] 0.957689[a] 
0.658592[a] 0.934437[a] 0.906981[a] 
0.925279[a] 0.881219[a] 0.693512[a] 
0.789594[a] 0.734690[a] 0.975726[a] 
0.979849[a] 0.742355[a] 0.777806[a] 
0.689894[a] 0.825602[a] 0.984514[a] 
0.813766[a] 0.743088[a] 0.943156[a] 
0.748190[a] 0.910495[a] 0.841325[a] 
0.703866[a] 0.980546[a] 0.815599[a] 
0.759080[a] 0.957139[a] 0.783791[a] 
0.922020[a] 0.999578[a] 0.578411[a] 
0.625905[a] 0.948458[a] 0.925647[a] 
0.782614[a] 0.884058[a] 0.833338[a] 
0.734611[a] 0.853823[a] 0.911576[a] 
0.937537[a] 0.941411[a] 0.621061[a] 
0.975263[a] 0.562861[a] 0.961886[a] 
0.586626[a] 0.938195[a] 0.975189[a] 
0.787444[a] 0.864299[a] 0.848267[a] 
0.810126[a] 0.852068[a] 0.837816[a] 
0.842472[a] 0.690900[a] 0.966637[a] 
0.983723[a] 0.803191[a] 0.713096[a] 
0.803245[a] 0.735600[a] 0.961165[a] 
0.627555[a] 0.880380[a] 0.992076[a] 
0.887811[a] 0.793565[a] 0.818634[a] 
0.887582[a] 0.892423[a] 0.720004[a] 
0.875174[a] 0.952467[a] 0.672370[a] 
0.983618[a] 0.666198[a] 0.850193[a] 
0.966487[a] 0.899769[a] 0.633753[a] 
0.989327[a] 0.579340[a] 0.931343[a] 
0.852001[a] 0.741423[a] 0.906587[a] 
0.790314[a] 0.763811[a] 0.945885[a] 
0.650596[a] 0.960222[a] 0.889192[a] 
0.999007[a] 0.792457[a] 0.708546[a] 
0.592527[a] 0.934248[a] 0.973235[a] 
0.983458[a] 0.730336[a] 0.786216[a] 
0.688717[a] 0.967550[a] 0.843744[a] 
0.684921[a] 0.842641[a] 0.972447[a] 
0.723838[a] 0.909729[a] 0.866444[a] 
0.824977[a] 0.769383[a] 0.905650[a] 
0.562153[a] 0.995560[a] 0.942297[a] 
0.809657[a] 0.691755[a] 0.998598[a] 
