0.716891[a] 0.675504[a] 0.107615[a] 
0.611881[a] 0.353731[a] 0.534398[a] 
0.660771[a] 0.427061[a] 0.412178[a] 
0.482621[a] 0.462398[a] 0.554991[a] 
0.627980[a] 0.668155[a] 0.203875[a] 
0.551057[a] 0.364730[a] 0.584223[a] 
0.845616[a] 0.011757[a] 0.642637[a] 
0.934251[a] 0.282944[a] 0.282815[a] 
0.610956[a] 0.500798[a] 0.388256[a] 
0.590088[a] 0.044043[a] 0.865878[a] 
0.186363[a] 0.925748[a] 0.387899[a] 
0.795712[a] 0.482892[a] 0.221406[a] 
0.945446[a] 0.120804[a] 0.433761[a] 
0.479785[a] 0.770724[a] 0.249501[a] 
0.268001[a] 0.722231[a] 0.509778[a] 
0.350070[a] 0.363318[a] 0.786622[a] 
0.919897[a] 0.075877[a] 0.504235[a] 
0.423949[a] 0.151097[a] 0.924964[a] 
0.497254[a] 0.507954[a] 0.494802[a] 
0.627849[a] 0.337706[a] 0.534455[a] 
0.195327[a] 0.316980[a] 0.987703[a] 
0.409901[a] 0.700355[a] 0.389754[a] 
0.196641[a] 0.685512[a] 0.617858[a] 
0.263780[a] 0.831599[a] 0.404631[a] 
0.665376[a] 0.802205[a] 0.032429[a] 
0.976281[a] 0.287674[a] 0.236054[a] 
0.614423[a] 0.722166[a] 0.163421[a] 
0.116465[a] 0.641788[a] 0.741757[a] 
0.403623[a] 0.241363[a] 0.855024[a] 
0.244455[a] 0.411269[a] 0.844286[a] 
0.252942[a] 0.321611[a] 0.925457[a] 
0.285583[a] 0.556165[a] 0.658262[a] 
0.514339[a] 0.376071[a] 0.609600[a] 
0.770248[a] 0.096300[a] 0.633463[a] 
0.359435[a] 0.922343[a] 0.218232[a] 
0.359705[a] 0.211685[a] 0.928620[a] 
0.678725[a] 0.344683[a] 0.476602[a] 
0.005490[a] 0.522958[a] 0.971562[a] 
0.413125[a] 0.824249[a] 0.262637[a] 
0.415948[a] 0.854088[a] 0.229975[a] 
0.667010[a] 0.509460[a] 0.323540[a] 
0.218402[a] 0.409679[a] 0.871929[a] 
0.332639[a] 0.736086[a] 0.431286[a] 
0.743162[a] 0.057647[a] 0.699200[a] 
0.596261[a] 0.402899[a] 0.500850[a] 
0.304910[a] 0.720045[a] 0.475055[a] 
0.112202[a] 0.884746[a] 0.503063[a] 
0.890355[a] 0.273615[a] 0.336040[a] 
0.295379[a] 0.867425[a] 0.337206[a] 
0.128029[a] 0.629475[a] 0.742506[a] 
0.477935[a] 0.737650[a] 0.284425[a] 
0.771054[a] 0.050838[a] 0.678118[a] 
0.480842[a] 0.752687[a] 0.266480[a] 
0.622541[a] 0.859756[a] 0.017713[a] 
0.021673[a] 0.855027[a] 0.623309[a] 
0.256902[a] 0.976943[a] 0.266165[a] 
0.195770[a] 0.966999[a] 0.337241[a] 
0.468822[a] 0.553337[a] 0.477851[a] 
0.423497[a] 0.984088[a] 0.092425[a] 
0.224846[a] 0.784122[a] 0.491042[a] 
0.898732[a] 0.590519[a] 0.010759[a] 
0.106049[a] 0.814512[a] 0.579449[a] 
0.419367[a] 0.276305[a] 0.804338[a] 
0.323519[a] 0.959656[a] 0.216835[a] 
0.268850[a] 0.603982[a] 0.627177[a] 
0.814765[a] 0.451118[a] 0.234127[a] 
0.457018[a] 0.578512[a] 0.464480[a] 
0.244709[a] 0.777316[a] 0.477985[a] 
0.263557[a] 0.901617[a] 0.334836[a] 
0.238159[a] 0.622595[a] 0.639256[a] 
