0.168861[a] 0.545108[a] 0.286041[a] 
0.434042[a] 0.005411[a] 0.560556[a] 
0.071482[a] 0.377652[a] 0.550877[a] 
0.489987[a] 0.469922[a] 0.040101[a] 
0.484015[a] 0.398078[a] 0.117916[a] 
0.045890[a] 0.545069[a] 0.409052[a] 
0.677066[a] 0.253440[a] 0.069504[a] 
0.294998[a] 0.491817[a] 0.213195[a] 
0.587711[a] 0.031391[a] 0.380908[a] 
0.390455[a] 0.245985[a] 0.363570[a] 
0.322821[a] 0.342770[a] 0.334419[a] 
0.424040[a] 0.086641[a] 0.489328[a] 
0.503226[a] 0.448682[a] 0.048102[a] 
0.112254[a] 0.375577[a] 0.512180[a] 
0.103599[a] 0.312554[a] 0.583857[a] 
0.172230[a] 0.016857[a] 0.810924[a] 
0.479336[a] 0.133137[a] 0.387537[a] 
0.213165[a] 0.457768[a] 0.329077[a] 
0.196034[a] 0.707848[a] 0.096128[a] 
0.128086[a] 0.210332[a] 0.661592[a] 
0.139662[a] 0.063451[a] 0.796897[a] 
0.260487[a] 0.243724[a] 0.495799[a] 
0.696050[a] 0.217218[a] 0.086742[a] 
0.514666[a] 0.069420[a] 0.415923[a] 
0.409518[a] 0.528800[a] 0.061693[a] 
0.515004[a] 0.290685[a] 0.194321[a] 
0.403047[a] 0.478633[a] 0.118330[a] 
0.638542[a] 0.046579[a] 0.314889[a] 
0.269229[a] 0.196756[a] 0.534025[a] 
0.197680[a] 0.439125[a] 0.363205[a] 
0.147836[a] 0.437286[a] 0.414888[a] 
0.242770[a] 0.499781[a] 0.257459[a] 
0.534527[a] 0.073082[a] 0.392401[a] 
0.318344[a] 0.382488[a] 0.299178[a] 
0.302464[a] 0.280826[a] 0.416721[a] 
0.347424[a] 0.539605[a] 0.112981[a] 
0.031543[a] 0.554613[a] 0.413854[a] 
0.583829[a] 0.242696[a] 0.173486[a] 
0.349193[a] 0.118067[a] 0.532749[a] 
0.230564[a] 0.408277[a] 0.361169[a] 
0.015328[a] 0.079082[a] 0.905600[a] 
