0.160928[a] 0.080827[a] 0.258255[a] 
0.167342[a] 0.186217[a] 0.146451[a] 
0.243906[a] 0.016373[a] 0.239731[a] 
0.191125[a] 0.011435[a] 0.297450[a] 
0.163157[a] 0.152774[a] 0.184079[a] 
0.390071[a] 0.060267[a] 0.049672[a] 
0.288196[a] 0.167447[a] 0.044368[a] 
0.175023[a] 0.264495[a] 0.060492[a] 
0.119620[a] 0.036295[a] 0.344096[a] 
0.190777[a] 0.160742[a] 0.148491[a] 
0.400868[a] 0.033239[a] 0.065902[a] 
0.339382[a] 0.089528[a] 0.071100[a] 
0.198243[a] 0.147277[a] 0.154489[a] 
0.378564[a] 0.067056[a] 0.054390[a] 
0.077311[a] 0.031038[a] 0.391661[a] 
0.056418[a] 0.411604[a] 0.031988[a] 
0.205719[a] 0.064083[a] 0.230208[a] 
0.070284[a] 0.141833[a] 0.287892[a] 
0.303217[a] 0.030062[a] 0.166730[a] 
0.164003[a] 0.091311[a] 0.244696[a] 
0.053854[a] 0.131820[a] 0.314336[a] 
0.341434[a] 0.017894[a] 0.140682[a] 
0.276612[a] 0.035984[a] 0.187414[a] 
0.121938[a] 0.324805[a] 0.053267[a] 
0.312957[a] 0.106908[a] 0.080145[a] 
0.013770[a] 0.213840[a] 0.272400[a] 
0.114259[a] 0.051149[a] 0.334602[a] 
0.203758[a] 0.076370[a] 0.219882[a] 
0.211920[a] 0.189518[a] 0.098572[a] 
0.087907[a] 0.036678[a] 0.375425[a] 
0.114936[a] 0.165163[a] 0.219911[a] 
0.146594[a] 0.211435[a] 0.141981[a] 
0.275425[a] 0.099921[a] 0.124664[a] 
0.401461[a] 0.059998[a] 0.038551[a] 
0.156881[a] 0.225757[a] 0.117371[a] 
0.042392[a] 0.246326[a] 0.211292[a] 
0.055094[a] 0.148744[a] 0.296171[a] 
0.169362[a] 0.062413[a] 0.268235[a] 
0.318554[a] 0.164151[a] 0.017305[a] 
0.033505[a] 0.356545[a] 0.109960[a] 
0.100918[a] 0.321592[a] 0.077501[a] 
0.175097[a] 0.295864[a] 0.029050[a] 
0.071462[a] 0.328657[a] 0.099891[a] 
0.255340[a] 0.173206[a] 0.071464[a] 
0.209039[a] 0.045470[a] 0.245502[a] 
0.048740[a] 0.046410[a] 0.404860[a] 
0.328453[a] 0.090526[a] 0.081031[a] 
0.221965[a] 0.180195[a] 0.097849[a] 
0.040010[a] 0.042044[a] 0.417957[a] 
0.014322[a] 0.224260[a] 0.261428[a] 
0.392933[a] 0.024621[a] 0.082456[a] 
0.195076[a] 0.044062[a] 0.260872[a] 
0.067051[a] 0.066991[a] 0.365968[a] 
0.290011[a] 0.152331[a] 0.057668[a] 
0.002781[a] 0.147515[a] 0.349715[a] 
0.080869[a] 0.145477[a] 0.273663[a] 
0.010220[a] 0.042274[a] 0.447516[a] 
0.103086[a] 0.151335[a] 0.245589[a] 
0.101999[a] 0.146877[a] 0.251134[a] 
0.325646[a] 0.169745[a] 0.004620[a] 
0.184627[a] 0.098462[a] 0.216921[a] 
0.262226[a] 0.063552[a] 0.174232[a] 
0.221617[a] 0.062475[a] 0.215918[a] 
0.140195[a] 0.092881[a] 0.266933[a] 
0.344200[a] 0.023998[a] 0.131811[a] 
0.357792[a] 0.044751[a] 0.097468[a] 
0.190956[a] 0.122051[a] 0.187002[a] 
0.290099[a] 0.097598[a] 0.112313[a] 
0.050775[a] 0.106151[a] 0.343084[a] 
0.400277[a] 0.073517[a] 0.026216[a] 
0.014277[a] 0.181982[a] 0.303751[a] 
0.319635[a] 0.156857[a] 0.023517[a] 
0.029421[a] 0.386626[a] 0.083963[a] 
0.268885[a] 0.054388[a] 0.176737[a] 
0.351893[a] 0.050052[a] 0.098065[a] 
0.209660[a] 0.264375[a] 0.025975[a] 
0.006898[a] 0.236073[a] 0.257039[a] 
0.146907[a] 0.140760[a] 0.212343[a] 
0.032760[a] 0.320602[a] 0.146647[a] 
0.019349[a] 0.082140[a] 0.398521[a] 
0.334084[a] 0.004886[a] 0.161040[a] 
0.155450[a] 0.252288[a] 0.092272[a] 
0.257661[a] 0.141230[a] 0.101120[a] 
0.006519[a] 0.398125[a] 0.095365[a] 
0.185715[a] 0.023466[a] 0.290830[a] 
0.002130[a] 0.401513[a] 0.096367[a] 
0.074241[a] 0.052048[a] 0.373721[a] 
0.074466[a] 0.295159[a] 0.130385[a] 
0.103782[a] 0.181922[a] 0.214305[a] 
0.115486[a] 0.158774[a] 0.225750[a] 
0.026675[a] 0.300730[a] 0.172605[a] 
0.197740[a] 0.213821[a] 0.088448[a] 
0.223220[a] 0.038743[a] 0.238047[a] 
0.001396[a] 0.158666[a] 0.339947[a] 
0.337087[a] 0.117044[a] 0.045879[a] 
0.046711[a] 0.400589[a] 0.052709[a] 
0.302997[a] 0.071014[a] 0.125999[a] 
0.011308[a] 0.062787[a] 0.425915[a] 
0.082220[a] 0.136130[a] 0.281660[a] 
0.443143[a] 0.037813[a] 0.019054[a] 
0.064002[a] 0.320187[a] 0.115821[a] 
0.011388[a] 0.201424[a] 0.287198[a] 
0.060729[a] 0.123858[a] 0.315422[a] 
0.192040[a] 0.077065[a] 0.230905[a] 
0.125241[a] 0.325229[a] 0.049540[a] 
0.354351[a] 0.029840[a] 0.115819[a] 
0.015571[a] 0.404782[a] 0.079658[a] 
0.007043[a] 0.144629[a] 0.348337[a] 
0.001027[a] 0.090344[a] 0.408640[a] 
0.072087[a] 0.025009[a] 0.402914[a] 
0.098767[a] 0.013591[a] 0.387652[a] 
0.339394[a] 0.053730[a] 0.106886[a] 
0.035166[a] 0.278528[a] 0.186317[a] 
0.299753[a] 0.162339[a] 0.037918[a] 
